date,firm,event,amount,location,country,type of chip,direct jobs,latitude,longitude,indirect jobs
12/23/202,TSMC,Advanced talks underway,,"Dresden, SN, Germany",Germany,22nm and 28nm,,51.055604,13.731021,
11/10/2022,Cisco,Announced new investment,,"Barcelona, CT, Spain",Spain,chip design center,,41.400347,2.159592,
10/5/2022,Onsemi,Facility opening,,"Bucharest, Romania",Romania,chip design center,,44.43225,26.10626,
10/5/2022,STMicroelectronics,Announced new investment,730 million,"Catania, Italy",Italy,300nm,700,37.47169,14.84731,
9/29/2022,KLA,R&D manufacturing,100 million,"Newport, Wales, United Kingdom",Wales,R&D manufacturing,750,51.58774,-2.99835,
9/21/2022,Onsemi,Facility expansion opening,"150 million, 300 million forthcoming","Rasnov, NT, Romania",Romania,expanded silicon carbide fab,200,46.8404,26.503675,
7/1/2022,STMicroelectronics and GlobalFoundries,Announced new investment,5.7 billion,"Crolles, France",France,300mm,,45.277139,5.883248,
3/15/2022,Intel,"Announced new investment, Construction delay","17 billion, 68 billion over 10-15 years","Magdeburg, ST, Germany",Germany,2nm & 1.8nm chips,3000,52.1264595,11.6267109,7000
3/15/2022,Intel,Announced new investment,,"Saclay, France",France,R&D hub,1000,48.723082,2.146695,
3/15/2022,Intel,Announced new investment,12 billion,"Leixlip, KE, Ireland",Ireland,Intel 4 process technology expand foundry,,53.366925,-6.502648,
3/15/2022,Intel,announced potential new investment,,Italy,Italy,Back-end manufacturing facility,1500,45.003229,11.083693,3500
3/15/2022,Intel,Announced new investment,,"Gdansk, PM, Poland",Poland,Increase lab space,,54.372781,18.628385,
3/15/2022,Intel,Announced new investment,,"Barcelona, CT, Spain",Spain,Join supercomputing labs,,41.4067006,2.2007329,
3/3/2022,AT&S,Construction begun,500 million,"Loebenau, SZ, Austria",Austria,R&D manufacturing,700,47.38333,13.48333,
2/18/2022,MEMC (GlobalWafers subsidiary),Announced new investment,,"Novara, NO, Italy",Italy,Expansion of existing facility - 300mm production,,45.448772,8.623301,
